cid,time,compile,vmlinux,GZIP-bzImage,GZIP-vmlinux,GZIP,BZIP2-bzImage,BZIP2-vmlinux,BZIP2,LZMA-bzImage,LZMA-vmlinux,LZMA,XZ-bzImage,XZ-vmlinux,XZ,LZO-bzImage,LZO-vmlinux,LZO,LZ4-bzImage,LZ4-vmlinux,LZ4
55193,249.21,True,39191024,10155472,12240336,10005884,13747664,15831976,9482821,8099280,10183632,7959997,7632336,9717112,7487480,11187664,13271928,11052388,11937232,14021808,11790315
55192,368.838,True,778406272,17249744,19336056,17036412,21034448,23120208,16705033,13411792,15497584,13211837,11879888,13966104,11670044,19981776,22067480,19782152,21874128,23960152,21661268
55191,274.685,True,30723192,4871120,6957896,4669253,9020368,11106592,4699455,3875792,5962048,3682190,3404752,5491440,3203364,5665744,7751912,5476868,6222800,8309288,6020912
55190,187.827,True,26901296,7681488,9766008,7534544,11601360,13685328,7338259,6272464,8356464,6135954,5121488,7205920,4977688,8418768,10502680,8285232,8996304,11080536,8849082
55189,250.025,True,133765488,18509776,20595832,18364097,20774864,22860368,16512888,13709264,15794800,13572523,11857872,13943840,11715776,21041104,23126552,20906646,22847440,24933208,22702631
55188,295.708,True,19192048,4817872,6903248,4671746,8774608,10859432,4508299,3937232,6022096,3799647,3757008,5842296,3609148,5301200,7385976,5164846,5649360,7734448,5502413
55187,708.851,True,34986048,9778640,11863160,9632524,13628880,15712848,9366638,8037840,10121840,7900876,6485456,8569888,6340168,10655184,12739096,10521614,11343312,13427544,11197609
55186,388.706,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
55185,259.472,True,43901568,13062096,15148496,12915364,16199632,18285480,11936545,10469328,12555216,10333693,8970192,11056504,8823292,14241744,16327544,14106184,15155152,17241264,15008313
55184,230.996,True,16065176,4105168,6190544,3958634,8111056,10195880,3845744,3396560,5481424,3260656,3224528,5309816,3078404,4482000,6566776,4345571,4764624,6849712,4616321
55183,177.785,True,61580584,7180240,9268088,6970138,11395024,13482320,7066979,5791696,7879024,5589837,5402576,7490336,5192888,8167376,10254616,7970939,8892368,10979928,8682608
55182,412.527,True,13417328,3326928,5412304,3178470,7345104,9429928,3078698,2753488,4838352,2614917,2638800,4724088,2491136,3621840,5706616,3485431,3847120,5932208,3700192
55181,360.363,True,30530632,6579664,8664536,6432725,10487248,12571560,6219332,5367248,7451600,5228645,5035472,7120248,4890088,7271888,9356152,7134524,7751120,9835696,7604231
55180,346.023,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
55179,1066.67,True,53353696,12698576,14783952,12549447,15680464,17765288,11414644,9651152,11736016,9512282,9024464,11109752,8879280,14042064,16126840,13906081,14902224,16987312,14756143
55178,242.289,True,27969248,8810448,10896504,8665710,12505040,14590544,8243807,7196624,9282160,7061312,6807504,8893472,6663076,9617360,11702808,9483613,10194896,12280664,10050858
55177,332.861,True,20737856,5247952,7332984,5099405,9233360,11317840,4967734,4330448,6414960,4194838,3605456,5690400,3461620,5723088,7807512,5588697,6108112,8192856,5963774
55176,498.801,True,524698224,18793936,20878800,18646315,21718480,23802792,17450914,14771664,16856016,14633064,13186512,15271288,13038136,20583888,22668152,20448421,21964240,24048816,21817162
55175,132.538,True,27395144,4998608,7084920,4786188,9160144,11245904,4829111,4048336,6134128,3846413,3769808,5856024,3558600,5666256,7751960,5468229,6153680,8239704,5940361
